QuarterID,GameID,Number,Name,AwayScore,HomeScore
55584,14210,1,1,37,31
55585,14210,2,2,21,34
55586,14210,3,3,28,38
55587,14210,4,4,28,25
55588,14211,1,1,20,28
55589,14211,2,2,34,30
55590,14211,3,3,22,28
55591,14211,4,4,15,20
55592,14209,1,1,22,24
55593,14209,2,2,37,24
55594,14209,3,3,33,24
55595,14209,4,4,35,31
55596,14212,1,1,22,26
55597,14212,2,2,34,21
55598,14212,3,3,35,35
55599,14212,4,4,39,36
55600,14213,1,1,28,20
55601,14213,2,2,16,32
55602,14213,3,3,25,30
55603,14213,4,4,24,30
55604,14215,1,1,26,29
55605,14215,2,2,23,21
55606,14215,3,3,30,28
55607,14215,4,4,28,22
55608,14214,1,1,20,27
55609,14214,2,2,15,23
55610,14214,3,3,29,28
55611,14214,4,4,35,28
55612,14216,1,1,25,30
55613,14216,2,2,31,23
55614,14216,3,3,28,27
55615,14216,4,4,30,41
55616,14217,1,1,34,26
55617,14217,2,2,31,21
55618,14217,3,3,29,28
55619,14217,4,4,27,21
55620,14218,1,1,35,30
55621,14218,2,2,29,36
55622,14218,3,3,31,34
55623,14218,4,4,21,27
55624,14219,1,1,33,25
55625,14219,2,2,22,40
55626,14219,3,3,26,26
55627,14219,4,4,32,28
55628,14221,1,1,34,28
55629,14221,2,2,29,27
55630,14221,3,3,31,33
55631,14221,4,4,25,21
55632,14220,1,1,33,27
55633,14220,2,2,34,18
55634,14220,3,3,31,30
55635,14220,4,4,31,17
55636,14222,1,1,38,40
55637,14222,2,2,36,30
55638,14222,3,3,33,21
55639,14222,4,4,18,34
55640,14222,5,OT,14,7
55641,14223,1,1,24,25
55642,14225,1,1,29,32
55643,14225,2,2,26,25
55644,14225,3,3,31,27
55645,14225,4,4,25,20
55646,14223,2,2,28,22
55647,14223,3,3,16,23
55648,14223,4,4,25,17
55649,14224,1,1,19,32
55650,14224,2,2,25,23
55651,14224,3,3,31,16
55652,14224,4,4,26,37
55653,14227,1,1,23,28
55654,14227,2,2,27,23
55655,14227,3,3,27,32
55656,14227,4,4,23,15
55657,14229,1,1,27,30
55658,14229,2,2,31,23
55659,14229,3,3,39,41
55660,14229,4,4,25,28
55661,14228,1,1,28,27
55662,14228,2,2,37,34
55663,14228,3,3,20,25
55664,14228,4,4,18,26
55665,14226,1,1,26,33
55666,14226,2,2,19,20
55667,14226,3,3,19,32
55668,14226,4,4,31,23
55669,14231,1,1,17,21
55670,14231,2,2,25,31
55671,14231,3,3,30,17
55672,14231,4,4,28,31
55673,14230,1,1,15,30
55674,14230,2,2,28,22
55675,14230,3,3,19,35
55676,14230,4,4,29,32
55677,14229,5,OT,5,17
55678,14232,1,1,39,34
55679,14232,2,2,38,28
55680,14232,3,3,33,31
55681,14232,4,4,26,20
55682,14231,5,OT,4,5
55683,14233,1,1,28,31
55684,14233,2,2,24,33
55685,14233,3,3,14,40
55686,14233,4,4,18,26
55687,14235,1,1,18,36
55688,14235,2,2,18,41
55689,14235,3,3,26,31
55690,14235,4,4,32,33
55691,14234,1,1,32,27
55692,14234,2,2,34,33
55693,14234,3,3,23,21
55694,14234,4,4,15,22
55695,14236,1,1,31,23
55696,14236,2,2,21,37
55697,14236,3,3,26,23
55698,14236,4,4,31,32
55699,14237,1,1,36,32
55700,14237,2,2,18,37
55701,14237,3,3,30,28
55702,14237,4,4,28,29
55703,14238,1,1,21,25
55704,14238,2,2,33,28
55705,14238,3,3,23,29
55706,14238,4,4,25,23
55707,14239,1,1,24,27
55708,14239,2,2,27,26
55709,14239,3,3,37,30
55710,14239,4,4,34,24
55711,14241,1,1,22,27
55712,14241,2,2,20,30
55713,14241,3,3,26,29
55714,14241,4,4,36,24
55715,14242,1,1,35,25
