StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
897694,18,20002676,2,2022,Tre Mann,OKC,PG,0,4,53.10,71,18,11.00,31.00,35.5,8.00,18.00,44.4,3.00,13.00,23.1,7.00,8.00,87.5,5.00,8.00,13.00,5.00,4.00,0.00,10.00,5.00,32.00,57.10,60.25,-24.00,0.00,0.00
897695,3,20000730,2,2022,Solomon Hill,ATL,SF,1,3,32.50,47,53,2.00,9.00,22.2,1.00,4.00,25.0,1.00,5.00,20.0,2.00,2.00,100,4.00,6.00,10.00,7.00,0.00,2.00,1.00,2.00,7.00,34.50,34.00,-5.00,0.00,0.00
897696,19,20001416,2,2022,Norman Powell,POR,SF,3,3,46.90,64,16,15.00,36.00,41.7,11.00,23.00,47.8,4.00,13.00,30.8,5.00,6.00,83.3,1.00,6.00,7.00,1.00,1.00,0.00,4.00,4.00,39.00,47.90,51.25,-26.00,0.00,0.00
897697,7,20002109,2,2022,Gary Clark,PHI,PF,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
897698,24,20002309,2,2022,Keldon Johnson,SA,SF,5,5,113.50,125,58,28.00,60.00,46.7,24.00,46.00,52.2,4.00,14.00,28.6,15.00,24.00,62.5,0.00,20.00,20.00,11.00,2.00,0.00,6.00,8.00,75.00,115.50,119.50,26.00,0.00,0.00
897699,24,20002695,2,2022,Joshua Primo,SA,SG,0,5,40.00,48,42,12.00,19.00,63.2,7.00,9.00,77.8,5.00,10.00,50.0,0.00,0.00,0,2.00,3.00,5.00,6.00,0.00,1.00,6.00,5.00,29.00,41.00,45.75,8.00,0.00,0.00
897700,9,20000606,2,2022,Dennis Schroder,BOS,PG,1,2,49.40,45,58,7.00,18.00,38.9,6.00,13.00,46.2,1.00,5.00,20.0,4.00,4.00,100,0.00,7.00,7.00,10.00,5.00,1.00,5.00,5.00,19.00,55.40,52.75,-15.00,0.00,0.00
897701,17,20000840,2,2022,Rudy Gobert,UTA,C,2,2,64.30,39,59,9.00,12.00,75.0,9.00,12.00,75.0,0.00,0.00,0,8.00,11.00,72.7,5.00,19.00,24.00,3.00,2.00,3.00,5.00,7.00,26.00,69.30,69.50,36.00,1.00,0.00
897702,7,20000933,2,2022,Seth Curry,PHI,SG,3,3,55.50,59,33,12.00,25.00,48.0,5.00,12.00,41.7,7.00,13.00,53.8,5.00,7.00,71.4,1.00,4.00,5.00,3.00,5.00,1.00,3.00,10.00,36.00,61.50,60.75,-15.00,0.00,0.00
897703,16,20001431,2,2022,Karl-Anthony Towns,MIN,C,4,4,122.80,90,44,22.00,40.00,55.0,18.00,23.00,78.3,4.00,17.00,23.5,12.00,13.00,92.3,7.00,22.00,29.00,16.00,3.00,3.00,8.00,11.00,60.00,128.80,130.25,25.00,0.00,0.00
897704,7,20001708,2,2022,Georges Niang,PHI,SF,2,4,72.30,80,9,13.00,30.00,43.3,6.00,13.00,46.2,7.00,17.00,41.2,1.00,2.00,50.0,2.00,7.00,9.00,9.00,6.00,2.00,2.00,12.00,34.00,80.30,77.25,10.00,0.00,0.00
897705,10,20001733,2,2022,Fred VanVleet,TOR,PG,4,4,102.60,98,11,19.00,44.00,43.2,8.00,17.00,47.1,11.00,27.00,40.7,1.00,3.00,33.3,1.00,12.00,13.00,20.00,5.00,1.00,5.00,5.00,50.00,108.60,111.25,13.00,0.00,0.00
897706,28,20001840,2,2022,Luke Kennard,LAC,SG,1,4,87.50,98,21,17.00,43.00,39.5,7.00,19.00,36.8,10.00,24.00,41.7,11.00,13.00,84.6,1.00,14.00,15.00,7.00,4.00,0.00,4.00,2.00,55.00,91.50,95.25,-7.00,0.00,0.00
897707,23,20002010,2,2022,Devonte' Graham,NO,PG,4,4,52.00,83,35,10.00,28.00,35.7,2.00,9.00,22.2,8.00,19.00,42.1,3.00,4.00,75.0,2.00,8.00,10.00,10.00,1.00,0.00,8.00,5.00,31.00,53.00,60.50,-71.00,0.00,0.00
897708,9,20002278,2,2022,Grant Williams,BOS,PF,1,4,59.50,79,42,7.00,18.00,38.9,3.00,9.00,33.3,4.00,9.00,44.4,5.00,6.00,83.3,2.00,13.00,15.00,7.00,5.00,2.00,6.00,7.00,23.00,66.50,65.25,-17.00,0.00,0.00
897709,19,20002308,2,2022,Nassir Little,POR,SF,0,1,9.10,24,21,1.00,9.00,11.1,1.00,6.00,16.7,0.00,3.00,0,1.00,2.00,50.0,0.00,8.00,8.00,1.00,0.00,0.00,5.00,2.00,3.00,9.10,12.00,-16.00,0.00,0.00
897710,16,20002401,2,2022,Chris Silva,MIN,C,0,1,7.60,6,18,1.00,3.00,33.3,1.00,3.00,33.3,0.00,0.00,0,2.00,2.00,100,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,4.00,7.60,7.75,7.00,0.00,0.00
897711,30,20002678,2,2022,Neemias Queta,SAC,C,0,1,2.20,2,37,1.00,1.00,100,1.00,1.00,100,0.00,0.00,0,0.00,0.00,0,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,2.00,2.20,2.75,-1.00,0.00,0.00
